[2026-04-05T23:12:19.686+08:00] model usage detail: {"prompt_tokens":7390,"completion_tokens":129,"total_tokens":7519,"completion_tokens_details":{"text_tokens":129},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6388}}
[2026-04-05T23:12:19.909+08:00] model usage detail: {"prompt_tokens":6751,"completion_tokens":154,"total_tokens":6905,"completion_tokens_details":{"text_tokens":154},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5749}}
[2026-04-05T23:12:23.643+08:00] model usage detail: {"prompt_tokens":7167,"completion_tokens":68,"total_tokens":7235,"completion_tokens_details":{"text_tokens":68},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6165}}
[2026-04-05T23:12:25.115+08:00] model usage detail: {"prompt_tokens":7641,"completion_tokens":70,"total_tokens":7711,"completion_tokens_details":{"text_tokens":70},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6639}}
[2026-04-05T23:12:29.020+08:00] model usage detail: {"prompt_tokens":6756,"completion_tokens":156,"total_tokens":6912,"completion_tokens_details":{"text_tokens":156},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5754}}
[2026-04-05T23:12:30.542+08:00] model usage detail: {"prompt_tokens":6985,"completion_tokens":92,"total_tokens":7077,"completion_tokens_details":{"text_tokens":92},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5983}}
[2026-04-05T23:12:35.201+08:00] model usage detail: {"prompt_tokens":6755,"completion_tokens":128,"total_tokens":6883,"completion_tokens_details":{"text_tokens":128},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5753}}
[2026-04-05T23:12:37.123+08:00] model usage detail: {"prompt_tokens":6992,"completion_tokens":82,"total_tokens":7074,"completion_tokens_details":{"text_tokens":82},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5990}}
[2026-04-05T23:12:39.391+08:00] model usage detail: {"prompt_tokens":6998,"completion_tokens":92,"total_tokens":7090,"completion_tokens_details":{"text_tokens":92},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5996}}
[2026-04-05T23:12:47.385+08:00] model usage detail: {"prompt_tokens":7192,"completion_tokens":79,"total_tokens":7271,"completion_tokens_details":{"text_tokens":79},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6190}}
[2026-04-05T23:12:48.019+08:00] model usage detail: {"prompt_tokens":1723,"completion_tokens":85,"total_tokens":1808,"completion_tokens_details":{"text_tokens":85},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":721}}
[2026-04-05T23:12:50.266+08:00] model usage detail: {"prompt_tokens":1720,"completion_tokens":97,"total_tokens":1817,"completion_tokens_details":{"text_tokens":97},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":718}}
[2026-04-05T23:12:52.942+08:00] model usage detail: {"prompt_tokens":6755,"completion_tokens":179,"total_tokens":6934,"completion_tokens_details":{"text_tokens":179},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5753}}
[2026-04-05T23:12:58.954+08:00] model usage detail: {"prompt_tokens":7020,"completion_tokens":109,"total_tokens":7129,"completion_tokens_details":{"text_tokens":109},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6018}}
[2026-04-05T23:13:07.535+08:00] model usage detail: {"prompt_tokens":7229,"completion_tokens":97,"total_tokens":7326,"completion_tokens_details":{"text_tokens":97},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6227}}
[2026-04-05T23:13:27.308+08:00] model usage detail: {"prompt_tokens":6758,"completion_tokens":176,"total_tokens":6934,"completion_tokens_details":{"text_tokens":176},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5756}}
[2026-04-05T23:13:45.280+08:00] model usage detail: {"prompt_tokens":7024,"completion_tokens":92,"total_tokens":7116,"completion_tokens_details":{"text_tokens":92},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6022}}
[2026-04-05T23:13:54.482+08:00] model usage detail: {"prompt_tokens":1718,"completion_tokens":91,"total_tokens":1809,"completion_tokens_details":{"text_tokens":91},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":716}}
[2026-04-05T23:14:08.253+08:00] model usage detail: {"prompt_tokens":6762,"completion_tokens":203,"total_tokens":6965,"completion_tokens_details":{"text_tokens":203},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5760}}
[2026-04-05T23:14:14.475+08:00] model usage detail: {"prompt_tokens":7060,"completion_tokens":120,"total_tokens":7180,"completion_tokens_details":{"text_tokens":120},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6058}}
[2026-04-05T23:14:20.045+08:00] model usage detail: {"prompt_tokens":6754,"completion_tokens":159,"total_tokens":6913,"completion_tokens_details":{"text_tokens":159},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5752}}
[2026-04-05T23:14:27.158+08:00] model usage detail: {"prompt_tokens":7000,"completion_tokens":120,"total_tokens":7120,"completion_tokens_details":{"text_tokens":120},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5998}}
[2026-04-05T23:14:36.081+08:00] model usage detail: {"prompt_tokens":7222,"completion_tokens":171,"total_tokens":7393,"completion_tokens_details":{"text_tokens":171},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6220}}
[2026-04-05T23:14:45.254+08:00] model usage detail: {"prompt_tokens":7509,"completion_tokens":106,"total_tokens":7615,"completion_tokens_details":{"text_tokens":106},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6507}}
[2026-04-05T23:14:54.374+08:00] model usage detail: {"prompt_tokens":7747,"completion_tokens":76,"total_tokens":7823,"completion_tokens_details":{"text_tokens":76},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6745}}
[2026-04-05T23:15:01.101+08:00] model usage detail: {"prompt_tokens":6756,"completion_tokens":168,"total_tokens":6924,"completion_tokens_details":{"text_tokens":168},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5754}}
[2026-04-05T23:15:18.015+08:00] model usage detail: {"prompt_tokens":7013,"completion_tokens":90,"total_tokens":7103,"completion_tokens_details":{"text_tokens":90},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6011}}
[2026-04-05T23:15:24.614+08:00] model usage detail: {"prompt_tokens":1726,"completion_tokens":191,"total_tokens":1917,"completion_tokens_details":{"text_tokens":191},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":724}}
[2026-04-05T23:15:37.713+08:00] model usage detail: {"prompt_tokens":6762,"completion_tokens":165,"total_tokens":6927,"completion_tokens_details":{"text_tokens":165},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5760}}
[2026-04-05T23:15:46.619+08:00] model usage detail: {"prompt_tokens":7018,"completion_tokens":143,"total_tokens":7161,"completion_tokens_details":{"text_tokens":143},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6016}}
[2026-04-05T23:15:53.755+08:00] model usage detail: {"prompt_tokens":1717,"completion_tokens":152,"total_tokens":1869,"completion_tokens_details":{"text_tokens":152},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":715}}
[2026-04-05T23:19:26.578+08:00] model usage detail: {"prompt_tokens":1696,"completion_tokens":52,"total_tokens":1748,"completion_tokens_details":{"text_tokens":52},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":694}}
[2026-04-05T23:19:28.494+08:00] model usage detail: {"prompt_tokens":6752,"completion_tokens":153,"total_tokens":6905,"completion_tokens_details":{"text_tokens":153},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5750}}
[2026-04-05T23:19:28.505+08:00] model usage detail: {"prompt_tokens":1696,"completion_tokens":65,"total_tokens":1761,"completion_tokens_details":{"text_tokens":65},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":694}}
[2026-04-05T23:19:31.839+08:00] model usage detail: {"prompt_tokens":6752,"completion_tokens":113,"total_tokens":6865,"completion_tokens_details":{"text_tokens":113},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5750}}
[2026-04-05T23:19:36.728+08:00] model usage detail: {"prompt_tokens":6751,"completion_tokens":154,"total_tokens":6905,"completion_tokens_details":{"text_tokens":154},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5749}}
[2026-04-05T23:19:42.827+08:00] model usage detail: {"prompt_tokens":6954,"completion_tokens":127,"total_tokens":7081,"completion_tokens_details":{"text_tokens":127},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5952}}
[2026-04-05T23:19:47.620+08:00] model usage detail: {"prompt_tokens":6992,"completion_tokens":82,"total_tokens":7074,"completion_tokens_details":{"text_tokens":82},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5990}}
[2026-04-05T23:19:50.241+08:00] model usage detail: {"prompt_tokens":6752,"completion_tokens":143,"total_tokens":6895,"completion_tokens_details":{"text_tokens":143},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5750}}
[2026-04-05T23:19:54.571+08:00] model usage detail: {"prompt_tokens":6995,"completion_tokens":144,"total_tokens":7139,"completion_tokens_details":{"text_tokens":144},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5993}}
[2026-04-05T23:20:00.149+08:00] model usage detail: {"prompt_tokens":7239,"completion_tokens":83,"total_tokens":7322,"completion_tokens_details":{"text_tokens":83},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6237}}
[2026-04-05T23:20:01.569+08:00] model usage detail: {"prompt_tokens":7183,"completion_tokens":143,"total_tokens":7326,"completion_tokens_details":{"text_tokens":143},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6181}}
[2026-04-05T23:20:01.826+08:00] model usage detail: {"prompt_tokens":1723,"completion_tokens":85,"total_tokens":1808,"completion_tokens_details":{"text_tokens":85},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":721}}
[2026-04-05T23:20:02.948+08:00] model usage detail: {"prompt_tokens":6985,"completion_tokens":78,"total_tokens":7063,"completion_tokens_details":{"text_tokens":78},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5983}}
[2026-04-05T23:20:06.924+08:00] model usage detail: {"prompt_tokens":6756,"completion_tokens":148,"total_tokens":6904,"completion_tokens_details":{"text_tokens":148},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5754}}
[2026-04-05T23:20:08.909+08:00] model usage detail: {"prompt_tokens":7442,"completion_tokens":56,"total_tokens":7498,"completion_tokens_details":{"text_tokens":56},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6440}}
[2026-04-05T23:20:13.082+08:00] model usage detail: {"prompt_tokens":6990,"completion_tokens":103,"total_tokens":7093,"completion_tokens_details":{"text_tokens":103},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5988}}
[2026-04-05T23:20:17.423+08:00] model usage detail: {"prompt_tokens":1720,"completion_tokens":97,"total_tokens":1817,"completion_tokens_details":{"text_tokens":97},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":718}}
[2026-04-05T23:20:18.660+08:00] model usage detail: {"prompt_tokens":6755,"completion_tokens":146,"total_tokens":6901,"completion_tokens_details":{"text_tokens":146},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5753}}
[2026-04-05T23:20:22.244+08:00] model usage detail: {"prompt_tokens":7194,"completion_tokens":78,"total_tokens":7272,"completion_tokens_details":{"text_tokens":78},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6192}}
[2026-04-05T23:20:28.256+08:00] model usage detail: {"prompt_tokens":6987,"completion_tokens":94,"total_tokens":7081,"completion_tokens_details":{"text_tokens":94},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5985}}
[2026-04-05T23:20:30.114+08:00] model usage detail: {"prompt_tokens":6755,"completion_tokens":172,"total_tokens":6927,"completion_tokens_details":{"text_tokens":172},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5753}}
[2026-04-05T23:20:37.365+08:00] model usage detail: {"prompt_tokens":7182,"completion_tokens":79,"total_tokens":7261,"completion_tokens_details":{"text_tokens":79},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6180}}
[2026-04-05T23:20:38.253+08:00] model usage detail: {"prompt_tokens":7013,"completion_tokens":98,"total_tokens":7111,"completion_tokens_details":{"text_tokens":98},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6011}}
[2026-04-05T23:20:44.614+08:00] model usage detail: {"prompt_tokens":6758,"completion_tokens":165,"total_tokens":6923,"completion_tokens_details":{"text_tokens":165},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5756}}
[2026-04-05T23:20:47.881+08:00] model usage detail: {"prompt_tokens":7211,"completion_tokens":80,"total_tokens":7291,"completion_tokens_details":{"text_tokens":80},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6209}}
[2026-04-05T23:20:53.241+08:00] model usage detail: {"prompt_tokens":7012,"completion_tokens":96,"total_tokens":7108,"completion_tokens_details":{"text_tokens":96},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6010}}
[2026-04-05T23:20:56.174+08:00] model usage detail: {"prompt_tokens":6758,"completion_tokens":176,"total_tokens":6934,"completion_tokens_details":{"text_tokens":176},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5756}}
[2026-04-05T23:21:07.012+08:00] model usage detail: {"prompt_tokens":7208,"completion_tokens":92,"total_tokens":7300,"completion_tokens_details":{"text_tokens":92},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6206}}
[2026-04-05T23:22:20.895+08:00] model usage detail: {"prompt_tokens":6748,"completion_tokens":146,"total_tokens":6894,"completion_tokens_details":{"text_tokens":146},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5746}}
[2026-04-05T23:22:27.075+08:00] model usage detail: {"prompt_tokens":7024,"completion_tokens":81,"total_tokens":7105,"completion_tokens_details":{"text_tokens":81},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6022}}
[2026-04-05T23:22:31.588+08:00] model usage detail: {"prompt_tokens":1718,"completion_tokens":91,"total_tokens":1809,"completion_tokens_details":{"text_tokens":91},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":716}}
[2026-04-05T23:22:32.226+08:00] model usage detail: {"prompt_tokens":6983,"completion_tokens":133,"total_tokens":7116,"completion_tokens_details":{"text_tokens":133},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5981}}
[2026-04-05T23:22:38.975+08:00] model usage detail: {"prompt_tokens":6762,"completion_tokens":166,"total_tokens":6928,"completion_tokens_details":{"text_tokens":166},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5760}}
[2026-04-05T23:22:40.951+08:00] model usage detail: {"prompt_tokens":7217,"completion_tokens":133,"total_tokens":7350,"completion_tokens_details":{"text_tokens":133},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6215}}
[2026-04-05T23:22:49.309+08:00] model usage detail: {"prompt_tokens":7463,"completion_tokens":136,"total_tokens":7599,"completion_tokens_details":{"text_tokens":136},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6461}}
[2026-04-05T23:22:56.705+08:00] model usage detail: {"prompt_tokens":7022,"completion_tokens":105,"total_tokens":7127,"completion_tokens_details":{"text_tokens":105},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6020}}
[2026-04-05T23:22:57.287+08:00] model usage detail: {"prompt_tokens":7726,"completion_tokens":133,"total_tokens":7859,"completion_tokens_details":{"text_tokens":133},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6724}}
[2026-04-05T23:23:04.763+08:00] model usage detail: {"prompt_tokens":6754,"completion_tokens":146,"total_tokens":6900,"completion_tokens_details":{"text_tokens":146},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5752}}
[2026-04-05T23:23:07.071+08:00] model usage detail: {"prompt_tokens":7998,"completion_tokens":136,"total_tokens":8134,"completion_tokens_details":{"text_tokens":136},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6996}}
[2026-04-05T23:23:17.115+08:00] model usage detail: {"prompt_tokens":8287,"completion_tokens":133,"total_tokens":8420,"completion_tokens_details":{"text_tokens":133},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":7285}}
[2026-04-05T23:23:17.393+08:00] model usage detail: {"prompt_tokens":6987,"completion_tokens":98,"total_tokens":7085,"completion_tokens_details":{"text_tokens":98},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":5985}}
[2026-04-05T23:23:26.758+08:00] model usage detail: {"prompt_tokens":8585,"completion_tokens":136,"total_tokens":8721,"completion_tokens_details":{"text_tokens":136},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":7583}}
[2026-04-05T23:23:27.101+08:00] model usage detail: {"prompt_tokens":7184,"completion_tokens":139,"total_tokens":7323,"completion_tokens_details":{"text_tokens":139},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6182}}
[2026-04-05T23:23:36.757+08:00] model usage detail: {"prompt_tokens":7435,"completion_tokens":74,"total_tokens":7509,"completion_tokens_details":{"text_tokens":74},"prompt_tokens_details":{"image_tokens":1002,"text_tokens":6433}}
